month,lse_tone_mean,lse_pos_sum,lse_neg_sum,lse_unc_sum,vader_compound_mean,tb_polarity_mean,speech_count,ftse250_close,ftse100_close,ftse250_mean_close,period,ftse100_mean_close,cpih_annual_rate
1998-09-01,-0.23300970873786409,39.0,63.0,24.0,0.9959,0.08196442910878057,1,4657.922727272728,5589.08,4657.922727272728,Other,5589.08,1.7
1998-10-01,-0.16207430340557274,115.0,148.0,101.0,0.99915,0.08372319123932792,2,4516.204545454545,5646.9625,4516.204545454545,Other,5646.9625,1.6
1998-11-01,-0.31265117662476705,128.0,249.0,238.0,0.9969,0.08096917391746647,3,4885.033333333333,5611.05,4885.033333333333,Other,5611.05,1.7
1998-12-01,-0.3408061690947153,143.0,296.0,142.0,0.9992000000000001,0.07572099098261895,2,4761.9400000000005,5511.425,4761.9400000000005,Other,5511.425,1.9
1999-01-01,-0.28035714285714286,87.0,157.0,60.0,0.9979,0.08617192675609381,2,4904.9349999999995,6257.677777777778,4904.9349999999995,Other,6257.677777777778,1.7
1999-01-01,-0.28035714285714286,87.0,157.0,60.0,0.9979,0.08617192675609381,2,4904.9349999999995,6257.677777777778,4904.9349999999995,Other,6257.677777777778,2.0
1999-02-01,-0.07876646196696746,201.0,247.0,99.0,0.999425,0.08684359229484775,4,5192.545,6282.25,5192.545,Other,6282.25,1.9
1999-03-01,0.04886778167802326,136.0,116.0,75.0,0.99975,0.10216008431052365,2,5430.795652173913,6277.557142857143,5430.795652173913,Other,6277.557142857143,2.1
1999-05-01,0.035593268324420745,390.0,373.0,262.0,0.9997400000000001,0.09475391424196707,5,5760.773684210526,6194.425,5760.773684210526,Other,6194.425,1.7
1999-06-01,0.1325021181672558,129.0,102.0,77.0,0.9994666666666667,0.10829426777635846,3,5829.072727272727,6359.9375,5829.072727272727,Other,6359.9375,1.8
1999-08-01,-0.42767662620603797,235.0,617.0,460.0,0.00035000000000001696,0.05800749686052825,2,5996.571428571428,6306.43,5996.571428571428,Other,6306.43,1.6
1999-09-01,-0.3582483979436483,259.0,554.0,566.0,0.9994333333333333,0.07335279710300859,3,5908.877272727273,6334.366666666667,5908.877272727273,Other,6334.366666666667,1.6
1999-10-01,-0.05349943341086658,246.0,252.0,182.0,0.9953,0.0871836998090982,3,5631.0142857142855,6264.975,5631.0142857142855,Other,6264.975,1.5
1999-11-01,-0.24521339406207826,169.0,416.0,189.0,0.8732,0.08843187258757369,2,5965.427272727273,6246.6125,5965.427272727273,Other,6246.6125,1.5
1999-12-01,-0.2294133654302764,221.0,384.0,332.0,0.997425,0.09737887976247611,4,6306.7300000000005,6270.666666666667,6306.7300000000005,Other,6270.666666666667,1.5
2000-01-01,-0.009451561421670118,185.0,190.0,112.0,0.9995333333333334,0.10910680985096237,3,6433.85,6418.371428571429,6433.85,Other,6418.371428571429,1.2
2000-01-01,-0.009451561421670118,185.0,190.0,112.0,0.9995333333333334,0.10910680985096237,3,6433.85,6418.371428571429,6433.85,Other,6418.371428571429,1.2
2000-02-01,0.0338837916456358,388.0,319.0,331.0,0.99978,0.10939241332942214,5,6227.490476190476,6400.357142857143,6227.490476190476,Other,6400.357142857143,1.2
2000-03-01,0.08257049623572357,401.0,285.0,249.0,0.999275,0.09595647839354611,4,6639.717391304348,6372.075,6639.717391304348,Other,6372.075,1.0
2000-04-01,-0.11986028979493031,167.0,213.0,151.0,0.9987666666666666,0.09722921375603888,3,6235.955555555555,6394.411111111111,6235.955555555555,Other,6394.411111111111,0.9
2000-05-01,-0.010044854355153357,233.0,263.0,234.0,0.999825,0.10745834391568847,4,6227.504761904762,6432.85,6227.504761904762,Other,6432.85,1.0
2000-06-01,0.15097311201708405,205.0,145.0,117.0,0.99955,0.1298217722042535,4,6514.695454545454,6469.188888888889,6514.695454545454,Other,6469.188888888889,1.2
2000-07-01,0.20751231527093594,89.0,51.0,47.0,0.9992000000000001,0.13239182973100344,2,6719.785714285715,6443.64,6719.785714285715,Other,6443.64,1.2
2000-08-01,0.08634086803100888,198.0,173.0,113.0,0.9996999999999999,0.12747202579460248,3,6855.468181818182,6391.8,6855.468181818182,Other,6391.8,1.0
2000-09-01,-0.0725438596491228,148.0,292.0,124.0,0.0018500000000000183,0.11819896971020821,2,6873.1238095238095,6362.3,6873.1238095238095,Other,6362.3,1.3
2000-10-01,0.28469626423590616,231.0,145.0,194.0,0.9991333333333333,0.1622447968582907,3,6549.054545454546,6399.066666666667,6549.054545454546,Other,6399.066666666667,1.4
2000-11-01,-0.09890926067396655,192.0,226.0,141.0,0.9972333333333333,0.09937951156067475,3,6661.709090909091,6363.055555555556,6661.709090909091,Other,6363.055555555556,1.5
2001-01-01,-0.05885153256704981,156.0,178.0,140.0,0.9996666666666667,0.10757329343238291,3,6640.090909090909,5614.528571428571,6640.090909090909,Other,5614.528571428571,1.2
2001-01-01,-0.05885153256704981,156.0,178.0,140.0,0.9996666666666667,0.10757329343238291,3,6640.090909090909,5614.528571428571,6640.090909090909,Other,5614.528571428571,1.6
2001-02-01,-0.20585413787271759,136.0,202.0,177.0,0.9989666666666667,0.09923376005833863,3,6720.57,5675.044444444445,6720.57,Other,5675.044444444445,1.2
2001-03-01,-0.08561523052318198,349.0,394.0,396.0,0.999125,0.09403840038575018,4,6299.231818181818,5476.85,6299.231818181818,Other,5476.85,1.3
2001-04-01,0.04654140339208513,131.0,137.0,148.0,0.9995666666666666,0.10405758986428236,3,6187.578947368421,5580.425,6187.578947368421,Other,5580.425,1.5
2001-05-01,-0.15774270677007834,444.0,604.0,343.0,0.6904166666666667,0.09937480910450654,6,6533.1238095238095,5638.71,6533.1238095238095,Other,5638.71,1.9
2001-06-01,-0.3022302233045003,229.0,491.0,253.0,0.33286666666666664,0.08643765705596591,3,6463.314285714286,5622.466666666666,6463.314285714286,Other,5622.466666666666,1.9
2001-07-01,-0.4649743067057375,125.0,348.0,157.0,0.99915,0.09541978931106954,2,6118.9047619047615,5609.0,6118.9047619047615,Other,5609.0,1.7
2001-08-01,-0.1276595744680851,20.0,26.0,12.0,0.7993,0.12823666624637495,1,6145.857142857143,5747.9,6145.857142857143,Other,5747.9,2.1
2001-09-01,-0.20625057933322574,478.0,768.0,450.0,0.60646,0.09349678361178429,5,5407.6,5650.455555555555,5407.6,Other,5650.455555555555,1.7
2001-10-01,-0.1945781718620371,258.0,502.0,241.0,0.9168000000000001,0.08670583093535439,4,5343.809523809524,5511.7375,5343.809523809524,Other,5511.7375,1.6
2001-11-01,-0.023792869036632136,164.0,217.0,173.0,0.995025,0.09696075420789338,4,5761.063636363636,5515.4875,5761.063636363636,Other,5515.4875,1.2
2001-12-01,-0.1875170905113481,117.0,178.0,170.0,0.9999,0.11411145948095779,2,5896.105263157895,5557.9400000000005,5896.105263157895,Other,5557.9400000000005,1.4
2002-01-01,0.2450592885375494,87.0,64.0,37.0,0.9992000000000001,0.15020979693643827,3,5975.040909090909,4572.7,5975.040909090909,Other,4572.7,1.5
2002-01-01,0.2450592885375494,87.0,64.0,37.0,0.9992000000000001,0.15020979693643827,3,5975.040909090909,4572.7,5975.040909090909,Other,4572.7,1.8
2002-02-01,0.01931729600843707,106.0,101.0,75.0,0.9989666666666667,0.10638315600136909,3,5790.705,4563.3125,5790.705,Other,4563.3125,1.7
2002-03-01,-0.2346553330928331,215.0,386.0,354.0,0.9764,0.09352591873672834,4,6072.469999999999,4592.371428571429,6072.469999999999,Other,4592.371428571429,1.7
2002-04-01,-0.08761294840516853,214.0,248.0,176.0,0.998175,0.08987896044021249,4,6158.5199999999995,4604.955555555555,6158.5199999999995,Other,4604.955555555555,1.6
2002-05-01,-0.10879010695187166,160.0,201.0,198.0,0.99905,0.07781563014059129,2,6129.290909090909,4592.722222222223,6129.290909090909,Other,4592.722222222223,1.2
2002-06-01,0.026044020609238,279.0,292.0,164.0,0.9998,0.08900947916676216,2,5717.611111111111,4518.9,5717.611111111111,Other,4518.9,1.1
2002-09-01,-0.1411192214111922,207.0,339.0,235.0,0.99985,0.1086441658178754,2,4586.0952380952385,4526.2125,4586.0952380952385,Other,4526.2125,1.2
2002-10-01,-0.1787037037037037,165.0,247.0,153.0,0.9992000000000001,0.06900238894056829,2,4295.608695652174,4602.1375,4295.608695652174,Other,4602.1375,1.5
2002-11-01,-0.08188383398289187,347.0,457.0,378.0,0.9997,0.09363388844187703,4,4483.7095238095235,4607.61,4483.7095238095235,Other,4607.61,1.6
2002-12-01,-0.08333138261610654,267.0,480.0,259.0,0.499525,0.10358828688549347,4,4359.755,4550.200000000001,4359.755,Other,4550.200000000001,1.7
2003-01-01,-0.13771929824561402,110.0,149.0,104.0,0.9992000000000001,0.07991475110471483,2,4265.428571428572,4058.6857142857143,4265.428571428572,Other,4058.6857142857143,1.4
2003-01-01,-0.13771929824561402,110.0,149.0,104.0,0.9992000000000001,0.07991475110471483,2,4265.428571428572,4058.6857142857143,4265.428571428572,Other,4058.6857142857143,1.4
2003-02-01,-0.27666666666666667,108.0,191.0,152.0,0.9927,0.06237479100052028,1,4053.3315789473686,4080.5125,4053.3315789473686,Other,4080.5125,1.6
2003-03-01,-0.14506016644174538,227.0,379.0,328.0,0.999425,0.12060666403936435,4,3977.1809523809525,4055.13,3977.1809523809525,Other,4055.13,1.6
2003-04-01,-0.45977011494252873,70.0,190.0,66.0,-0.9999,0.08276537222394208,1,4203.04,4026.1444444444446,4203.04,Other,4026.1444444444446,1.5
2003-06-01,0.31748021380038566,133.0,83.0,102.0,0.9998,0.13546534420086306,3,4984.771428571428,3996.9625,4984.771428571428,Other,3996.9625,1.2
2003-07-01,-0.5576923076923077,11.0,40.0,41.0,0.9817,0.07639078046381419,1,5151.952173913043,3977.3555555555554,5151.952173913043,Other,3977.3555555555554,1.3
2003-08-01,-0.2879089176240276,220.0,426.0,411.0,0.99995,0.08466898231516218,2,5458.085,4108.05,5458.085,Other,4108.05,1.4
2003-09-01,-0.4435146443514644,66.0,172.0,82.0,-0.9999,0.06572800373871399,1,5646.227272727273,4113.25,5646.227272727273,Other,4113.25,1.3
2003-10-01,0.02032115171650055,176.0,213.0,179.0,0.99975,0.0881127692935844,2,5704.939130434783,4017.46,5704.939130434783,Other,4017.46,1.3
2003-11-01,-0.27512046068868257,137.0,249.0,167.0,0.99905,0.08050452630873473,2,5731.5650000000005,4025.9444444444443,5731.5650000000005,Other,4025.9444444444443,1.3
2004-01-01,-0.16021241314842846,374.0,622.0,638.0,0.998325,0.07871544371548209,8,5993.133333333333,4545.775,5993.133333333333,Other,4545.775,1.5
2004-01-01,-0.16021241314842846,374.0,622.0,638.0,0.998325,0.07871544371548209,8,5993.133333333333,4545.775,5993.133333333333,Other,4545.775,1.4
2004-02-01,0.03773584905660377,82.0,76.0,58.0,0.9999,0.09831076434083112,1,6183.3099999999995,4510.62,6183.3099999999995,Other,4510.62,1.4
2004-03-01,-0.28768567221909214,220.0,487.0,319.0,0.33136666666666664,0.09826351853310143,3,6249.156521739131,4542.571428571428,6249.156521739131,Other,4542.571428571428,1.2
2004-04-01,-0.15115562403697996,96.0,130.0,137.0,0.008550000000000002,0.08744710396213864,2,6308.8150000000005,4539.628571428571,6308.8150000000005,Other,4539.628571428571,1.1
2004-06-01,0.29891304347826086,103.0,56.0,30.0,0.9995,0.08286050073923609,2,6150.813636363636,4510.933333333333,6150.813636363636,Other,4510.933333333333,1.5
2004-07-01,-0.14969741710693618,177.0,271.0,235.0,0.9994333333333333,0.09260038490128715,3,6069.504545454546,4535.3875,6069.504545454546,Other,4535.3875,1.4
2004-08-01,-0.359375,20.0,43.0,58.0,0.9997,0.08327980715789897,1,5956.761904761905,4566.822222222222,5956.761904761905,Other,4566.822222222222,1.4
2004-09-01,0.28242234772085517,135.0,78.0,166.0,0.9995499999999999,0.10646816123689926,2,6231.304545454546,4509.322222222222,6231.304545454546,Other,4509.322222222222,1.2
2004-10-01,-0.0583986562150056,88.0,99.0,101.0,0.9984500000000001,0.038844172313277574,2,6312.966666666666,4519.4875,6312.966666666666,Other,4519.4875,1.3
2004-11-01,-0.06283766718791141,157.0,170.0,145.0,0.9978000000000001,0.10648369441172839,3,6534.490909090909,4507.785714285715,6534.490909090909,Other,4507.785714285715,1.5
2004-12-01,-0.39106145251396646,54.0,124.0,223.0,-0.9545,0.06307865368723513,1,6754.480952380953,4479.6875,6754.480952380953,Other,4479.6875,1.8
2005-01-01,-0.11034635839105113,154.0,198.0,171.0,0.9984666666666667,0.06722349327484979,3,7040.055,5160.266666666666,7040.055,Pre-Brexit (benign),5160.266666666666,1.7
2005-01-01,-0.11034635839105113,154.0,198.0,171.0,0.9984666666666667,0.06722349327484979,3,7040.055,5160.266666666666,7040.055,Pre-Brexit (benign),5160.266666666666,2.1
2005-02-01,-0.12083191581048287,160.0,186.0,199.0,0.9985666666666667,0.0870065331992556,3,7285.225,5207.857142857143,7285.225,Pre-Brexit (benign),5207.857142857143,1.7
2005-03-01,-0.05244158863861417,231.0,259.0,417.0,0.999475,0.10139089576459505,4,7218.200000000001,5149.914285714286,7218.200000000001,Pre-Brexit (benign),5149.914285714286,2.0
2005-05-01,-0.14946026977685872,269.0,369.0,410.0,0.9988400000000001,0.08534629204538816,5,6883.08,5179.0,6883.08,Pre-Brexit (benign),5179.0,1.9
2005-06-01,-0.1167562724014337,107.0,132.0,165.0,0.9917333333333334,0.08933425770618948,3,7280.181818181818,5146.375,7280.181818181818,Pre-Brexit (benign),5146.375,2.0
2005-08-01,-0.15416666666666667,45.0,53.0,62.0,0.9917,0.13048504070733133,2,7686.618181818182,5211.444444444444,7686.618181818182,Pre-Brexit (benign),5211.444444444444,2.4
2005-09-01,-0.07892036124794746,95.0,133.0,121.0,0.9977,0.08644409453217941,2,7866.477272727273,5198.27375,7866.477272727273,Pre-Brexit (benign),5198.27375,2.5
2005-10-01,-0.10442035210916878,114.0,145.0,144.0,0.997,0.078632637826815,3,7666.4047619047615,5112.6375,7666.4047619047615,Pre-Brexit (benign),5112.6375,2.4
2005-11-01,-0.05871806951423786,184.0,205.0,217.0,0.99975,0.10754080088315301,2,8115.354545454545,5126.700000000001,8115.354545454545,Pre-Brexit (benign),5126.700000000001,2.2
2005-12-01,-0.1348314606741573,38.0,50.0,85.0,0.9997,0.11935993696156305,1,8579.256,5175.6,8579.256,Pre-Brexit (benign),5175.6,2.1
2006-01-01,-0.08241318446787418,215.0,245.0,214.0,0.99925,0.09120492512832781,4,8967.943333333333,5913.7699999999995,8967.943333333333,Pre-Brexit (benign),5913.7699999999995,2.2
2006-01-01,-0.08241318446787418,215.0,245.0,214.0,0.99925,0.09120492512832781,4,8967.943333333333,5913.7699999999995,8967.943333333333,Pre-Brexit (benign),5913.7699999999995,2.5
2006-02-01,-0.1935897435897436,128.0,189.0,116.0,0.0005999999999999894,0.08709855571052633,2,9366.8455,5923.74,9366.8455,Pre-Brexit (benign),5923.74,2.2
2006-03-01,-0.13675,92.0,111.0,108.0,0.0008499999999999619,0.05350968881150503,2,9681.899130434782,5904.64,9681.899130434782,Pre-Brexit (benign),5904.64,2.0
2006-04-01,-0.3586206896551724,46.0,98.0,61.0,0.9998,0.040627467944451885,1,9883.250555555556,5941.57125,9883.250555555556,Pre-Brexit (benign),5941.57125,2.2
2006-05-01,-0.09001623376623377,198.0,294.0,430.0,0.999275,0.08485441869322641,4,9583.132857142857,5936.04875,9583.132857142857,Pre-Brexit (benign),5936.04875,2.4
2006-06-01,-0.050378787878787884,49.0,55.0,55.0,0.9995,0.0762536107683166,2,9129.41909090909,5925.273999999999,9129.41909090909,Pre-Brexit (benign),5925.273999999999,2.6
2006-07-01,0.013019427954668095,85.0,90.0,93.0,0.99895,0.10743398181775891,2,9284.642857142857,5920.872222222222,9284.642857142857,Pre-Brexit (benign),5920.872222222222,2.5
2006-08-01,-0.27631578947368424,27.0,48.0,48.0,0.9978,0.08716206261510132,1,9410.009545454544,5907.095,9410.009545454544,Pre-Brexit (benign),5907.095,2.6
2006-09-01,-0.2310641998734978,83.0,144.0,104.0,0.0005000000000000004,0.08754333263486945,2,9755.73380952381,5909.9725,9755.73380952381,Pre-Brexit (benign),5909.9725,2.5
2006-10-01,-0.12728128204192274,268.0,357.0,330.0,0.999,0.10448598796409982,6,10272.568181818182,5945.837777777778,10272.568181818182,Pre-Brexit (benign),5945.837777777778,2.5
2006-11-01,-0.04316372715175245,277.0,335.0,232.0,0.99922,0.08943529748680522,5,10616.833181818183,5943.93375,10616.833181818183,Pre-Brexit (benign),5943.93375,2.8
2006-12-01,-0.2257104174272849,181.0,278.0,326.0,0.9984000000000001,0.09179295159987337,3,10993.71157894737,5912.8325,10993.71157894737,Pre-Brexit (benign),5912.8325,2.9
2007-01-01,0.034198837996306346,364.0,352.0,251.0,0.558,0.09803884247255226,4,11158.678636363637,6405.342857142858,11158.678636363637,Pre-Brexit (benign),6405.342857142858,2.4
2007-01-01,0.034198837996306346,364.0,352.0,251.0,0.558,0.09803884247255226,4,11158.678636363637,6405.342857142858,11158.678636363637,Pre-Brexit (benign),6405.342857142858,2.7
2007-02-01,-0.15217215762273903,174.0,289.0,170.0,0.9975666666666667,0.10813892000293407,3,11467.337,6384.428888888889,11467.337,Pre-Brexit (benign),6384.428888888889,2.7
2007-03-01,0.005627142466659352,312.0,348.0,423.0,0.999525,0.08929335207771223,4,11369.423636363637,6415.49625,11369.423636363637,Pre-Brexit (benign),6415.49625,2.9
2007-04-01,-0.4240506329113924,45.0,112.0,158.0,0.9973,0.08324463738508676,1,11902.105263157895,6479.06,11902.105263157895,Pre-Brexit (benign),6479.06,2.7
2007-05-01,-0.14850235196458217,213.0,271.0,189.0,0.9995,0.09314195833240982,2,12097.837142857144,6408.364,12097.837142857144,Pre-Brexit (benign),6408.364,2.5
