month,lse_tone_mean,ftse250_mean_close,ftse100_mean_close,roll_corr_250,roll_corr_100
1998-09-01,-0.23300970873786409,4657.922727272728,5589.08,,
1998-10-01,-0.16207430340557274,4516.204545454545,5646.9625,,
1998-11-01,-0.31265117662476705,4885.033333333333,5611.05,,
1998-12-01,-0.3408061690947153,4761.9400000000005,5511.425,,
1999-01-01,-0.28035714285714286,4904.9349999999995,6257.677777777778,,
1999-01-01,-0.28035714285714286,4904.9349999999995,6257.677777777778,,
1999-02-01,-0.07876646196696746,5192.545,6282.25,,
1999-03-01,0.04886778167802326,5430.795652173913,6277.557142857143,,
1999-05-01,0.035593268324420745,5760.773684210526,6194.425,,
1999-06-01,0.1325021181672558,5829.072727272727,6359.9375,,
1999-08-01,-0.42767662620603797,5996.571428571428,6306.43,,
1999-09-01,-0.3582483979436483,5908.877272727273,6334.366666666667,0.22161884193484604,0.3029609024275558
1999-10-01,-0.05349943341086658,5631.0142857142855,6264.975,0.23999125070167984,0.3207070942782835
1999-11-01,-0.24521339406207826,5965.427272727273,6246.6125,0.22688807314437545,0.355898582129322
1999-12-01,-0.2294133654302764,6306.7300000000005,6270.666666666667,0.0952203003849535,0.27426734749879284
2000-01-01,-0.009451561421670118,6433.85,6418.371428571429,0.06393895615781371,0.12841454435668143
2000-01-01,-0.009451561421670118,6433.85,6418.371428571429,0.026025595195766173,0.1831335690127905
2000-02-01,0.0338837916456358,6227.490476190476,6400.357142857143,-0.11814104801784268,0.20783377734864192
2000-03-01,0.08257049623572357,6639.717391304348,6372.075,0.04375960038147446,0.262074324815927
2000-04-01,-0.11986028979493031,6235.955555555555,6394.411111111111,0.19248324394192454,0.29722237756825454
2000-05-01,-0.010044854355153357,6227.504761904762,6432.85,0.3119966343547706,0.5599270165448641
2000-06-01,0.15097311201708405,6514.695454545454,6469.188888888889,0.6012094634210934,0.6794475703987681
2000-07-01,0.20751231527093594,6719.785714285715,6443.64,0.6763575017369252,0.7186178524207524
2000-08-01,0.08634086803100888,6855.468181818182,6391.8,0.6315893133507244,0.7769194020079184
2000-09-01,-0.0725438596491228,6873.1238095238095,6362.3,0.6057390919819792,0.8340138177867027
2000-10-01,0.28469626423590616,6549.054545454546,6399.066666666667,0.4031449662112313,0.634977347819099
2000-11-01,-0.09890926067396655,6661.709090909091,6363.055555555556,0.2274274185930894,0.4430794464006953
2001-01-01,-0.05885153256704981,6640.090909090909,5614.528571428571,0.17408636360108293,0.306443933336156
2001-01-01,-0.05885153256704981,6640.090909090909,5614.528571428571,0.12911143492515326,0.3883710622451887
2001-02-01,-0.20585413787271759,6720.57,5675.044444444445,0.04102581580682955,0.531787637746079
2001-03-01,-0.08561523052318198,6299.231818181818,5476.85,0.10423405307460626,0.5351484134371091
2001-04-01,0.04654140339208513,6187.578947368421,5580.425,-0.05773359006737468,0.5522438167401039
2001-05-01,-0.15774270677007834,6533.1238095238095,5638.71,-0.055685383084622626,0.6260114307460111
2001-06-01,-0.3022302233045003,6463.314285714286,5622.466666666666,0.08867255232321458,0.6082094136075834
2001-07-01,-0.4649743067057375,6118.9047619047615,5609.0,0.34587109906285163,0.530509046818154
2001-08-01,-0.1276595744680851,6145.857142857143,5747.9,0.24818691215551156,0.4688978720310709
2001-09-01,-0.20625057933322574,5407.6,5650.455555555555,0.26479618641954566,0.514073625697714
2001-10-01,-0.1945781718620371,5343.809523809524,5511.7375,0.2222379363255715,0.09725072235638875
2001-11-01,-0.023792869036632136,5761.063636363636,5515.4875,0.09024593150971226,-0.2279863117015034
2001-12-01,-0.1875170905113481,5896.105263157895,5557.9400000000005,0.034561678289994235,-0.22924421506623222
2002-01-01,0.2450592885375494,5975.040909090909,4572.7,-0.09227394830141869,-0.7060841585450118
2002-01-01,0.2450592885375494,5975.040909090909,4572.7,-0.04899708106896988,-0.7951881831619896
2002-02-01,0.01931729600843707,5790.705,4563.3125,-0.08068534844473753,-0.7578760237822121
2002-03-01,-0.2346553330928331,6072.469999999999,4592.371428571429,-0.14120314810164464,-0.6594780737662498
2002-04-01,-0.08761294840516853,6158.5199999999995,4604.955555555555,-0.11557140621555807,-0.6356947823999055
2002-05-01,-0.10879010695187166,6129.290909090909,4592.722222222223,0.04067849064830724,-0.5717242885529564
2002-06-01,0.026044020609238,5717.611111111111,4518.9,0.2066523402260064,-0.5254936553135637
2002-09-01,-0.1411192214111922,4586.0952380952385,4526.2125,0.2909344729167765,-0.45845410220431587
2002-10-01,-0.1787037037037037,4295.608695652174,4602.1375,0.3387676745773838,-0.3256833193016375
2002-11-01,-0.08188383398289187,4483.7095238095235,4607.61,0.3091918636440569,-0.2125183923712809
2002-12-01,-0.08333138261610654,4359.755,4550.200000000001,0.3064321556241654,-0.302347406513387
2003-01-01,-0.13771929824561402,4265.428571428572,4058.6857142857143,0.41860981867442687,0.14857581170593023
2003-01-01,-0.13771929824561402,4265.428571428572,4058.6857142857143,0.3749883308632422,0.19357647986819462
2003-02-01,-0.27666666666666667,4053.3315789473686,4080.5125,0.38231322670905443,0.38510719690128425
2003-03-01,-0.14506016644174538,3977.1809523809525,4055.13,0.2927659272668801,0.3435611704757037
2003-04-01,-0.45977011494252873,4203.04,4026.1444444444446,0.49296381327357286,0.5847498552549409
2003-06-01,0.31748021380038566,4984.771428571428,3996.9625,0.4492202825425975,0.07883268003702856
2003-07-01,-0.5576923076923077,5151.952173913043,3977.3555555555554,0.25195515040628086,0.24466477849560406
2003-08-01,-0.2879089176240276,5458.085,4108.05,-0.029579816851861996,0.197836725062518
2003-09-01,-0.4435146443514644,5646.227272727273,4113.25,-0.21671109640358868,0.20960809303047295
2003-10-01,0.02032115171650055,5704.939130434783,4017.46,-0.04308036926113,0.1621020842526086
2003-11-01,-0.27512046068868257,5731.5650000000005,4025.9444444444443,-0.06318578764869023,0.09900605067557848
2004-01-01,-0.16021241314842846,5993.133333333333,4545.775,0.002649974268810234,0.008232495810959507
2004-01-01,-0.16021241314842846,5993.133333333333,4545.775,0.05675615788961233,0.058754099298863986
2004-02-01,0.03773584905660377,6183.3099999999995,4510.62,0.19956575799435894,0.20646999865560683
2004-03-01,-0.28768567221909214,6249.156521739131,4542.571428571428,0.12275328651610534,0.12818330292845817
2004-04-01,-0.15115562403697996,6308.8150000000005,4539.628571428571,0.22308625579086716,0.1577905744056489
2004-06-01,0.29891304347826086,6150.813636363636,4510.933333333333,0.1034864779076603,0.20198470706097837
2004-07-01,-0.14969741710693618,6069.504545454546,4535.3875,0.6157041304277595,0.4844685583367999
2004-08-01,-0.359375,5956.761904761905,4566.822222222222,0.39597324650938126,0.22450027396828973
2004-09-01,0.28242234772085517,6231.304545454546,4509.322222222222,0.4430150616123723,0.2121633371657798
2004-10-01,-0.0583986562150056,6312.966666666666,4519.4875,0.2679715290565895,0.028324504046844504
2004-11-01,-0.06283766718791141,6534.490909090909,4507.785714285715,0.3719701819857591,0.1815842249862575
2004-12-01,-0.39106145251396646,6754.480952380953,4479.6875,-0.13418981454700318,-0.33479766952718315
2005-01-01,-0.11034635839105113,7040.055,5160.266666666666,-0.13863727480671334,-0.0656427168244655
2005-01-01,-0.11034635839105113,7040.055,5160.266666666666,-0.1673194900564282,-0.07412386440641455
2005-02-01,-0.12083191581048287,7285.225,5207.857142857143,-0.12855120927272726,-0.055736212094550625
2005-03-01,-0.05244158863861417,7218.200000000001,5149.914285714286,-0.1497359125654308,-0.07549556842012557
2005-05-01,-0.14946026977685872,6883.08,5179.0,-0.18660545553783128,-0.12882225069433983
2005-06-01,-0.1167562724014337,7280.181818181818,5146.375,-0.003586173399510602,0.028888330471982783
2005-08-01,-0.15416666666666667,7686.618181818182,5211.444444444444,-0.06454227056097524,-0.009300176950970119
2005-09-01,-0.07892036124794746,7866.477272727273,5198.27375,-0.344868278255888,-0.16583951333153202
2005-10-01,-0.10442035210916878,7666.4047619047615,5112.6375,0.1051629543000282,0.3150184277834018
2005-11-01,-0.05871806951423786,8115.354545454545,5126.700000000001,0.36374177323084744,0.5202158001555969
2005-12-01,-0.1348314606741573,8579.256,5175.6,0.41603477104696174,0.893070193662602
2006-01-01,-0.08241318446787418,8967.943333333333,5913.7699999999995,0.2359099027938834,0.15811487935342344
2006-01-01,-0.08241318446787418,8967.943333333333,5913.7699999999995,0.30027331250329686,0.24781066633801252
2006-02-01,-0.1935897435897436,9366.8455,5923.74,-0.1323346740346478,-0.16210474391049579
2006-03-01,-0.13675,9681.899130434782,5904.64,-0.22778701803761497,-0.23140526474590994
2006-04-01,-0.3586206896551724,9883.250555555556,5941.57125,-0.45680541842819655,-0.39538092442081596
2006-05-01,-0.09001623376623377,9583.132857142857,5936.04875,-0.45900919658142814,-0.34137546671298735
2006-06-01,-0.050378787878787884,9129.41909090909,5925.273999999999,-0.4260431273501286,-0.24076584302747225
2006-07-01,0.013019427954668095,9284.642857142857,5920.872222222222,-0.40172855442316135,-0.1647901833910922
2006-08-01,-0.27631578947368424,9410.009545454544,5907.095,-0.4247410291288395,-0.18778392360434076
2006-09-01,-0.2310641998734978,9755.73380952381,5909.9725,-0.545758855067034,-0.20005683231191979
2006-10-01,-0.12728128204192274,10272.568181818182,5945.837777777778,-0.40094861028736584,-0.03811772091074452
2006-11-01,-0.04316372715175245,10616.833181818183,5943.93375,-0.1572062587363021,0.054873718110184724
2006-12-01,-0.2257104174272849,10993.71157894737,5912.8325,-0.2185287940724333,0.13945044863038647
2007-01-01,0.034198837996306346,11158.678636363637,6405.342857142858,0.14711439432155998,0.4729207345983897
2007-01-01,0.034198837996306346,11158.678636363637,6405.342857142858,0.27060766690176613,0.5755180589681168
2007-02-01,-0.15217215762273903,11467.337,6384.428888888889,0.2019731932256017,0.4630251442821915
2007-03-01,0.005627142466659352,11369.423636363637,6415.49625,0.24230071020332558,0.5242686762348509
2007-04-01,-0.4240506329113924,11902.105263157895,6479.06,-0.1253263638390486,0.08221520044420844
2007-05-01,-0.14850235196458217,12097.837142857144,6408.364,-0.07524981747723782,0.10742242989409483
2007-06-01,0.031317466558518275,11730.268095238096,6395.05875,0.1847205192798392,0.281878401355674
2007-07-01,-0.027142795688612303,11642.255454545455,6353.011428571429,0.027887448285497208,0.20345881855092288
2007-09-01,-0.24912807318467697,11089.73,6409.73375,-0.1628842215787469,0.0291039953712363
2007-10-01,-0.33554004909025403,11411.31347826087,6388.0325,-0.2249896617363382,-0.037222765672286266
2007-11-01,-0.20231021494902268,10814.084090909091,6491.7225,-0.07743854549556803,0.05310693812623697
2007-12-01,-0.2774566473988439,10480.522631578948,6439.485,0.04926059235662699,-0.4953412018219426
2008-01-01,-0.4935330156569095,9880.499090909092,5428.94375,0.44043375417169545,0.48268580385950455
2008-01-01,-0.4935330156569095,9880.499090909092,5428.94375,0.618959926088176,0.629202168625331
2008-02-01,-0.18780126022783264,10079.410476190476,5574.485,0.5348197595647092,0.5209430254141953
2008-03-01,-0.11285803237858032,9809.285789473684,5424.085555555556,0.37594722737714376,0.3270214317470481
2008-04-01,-0.2692737545826714,10096.67909090909,5495.780000000001,0.5675557973371625,0.4477126137020719
2008-06-01,-0.25037430694644447,9553.703333333335,5444.495714285715,0.5338657392022663,0.41198624417685364
2008-07-01,-0.11169334305931614,8716.34,5555.095555555556,0.1017233501184124,0.2335310194869642
2008-09-01,-0.3833758881184307,8746.298181818182,5497.39375,-0.0449939750046416,0.1405810824804444
2008-10-01,-0.4564402384389791,6706.872173913043,5235.604444444445,0.23606852387787516,0.22337559024744394
2008-11-01,-0.36535738936791706,6147.33,5397.6050000000005,0.3272811869985698,0.32023667792673893
2008-12-01,-0.08040201005025126,6158.3909523809525,5388.8825,-0.02565187295159726,0.14419684052921083
2009-01-01,-0.47260304869373915,6411.688095238096,4603.63,0.10080796569346898,0.44205800371693055
2009-01-01,-0.47260304869373915,6411.688095238096,4603.63,0.3088384469748194,0.5815529151731947
2009-02-01,-0.42908937399128727,6268.8910000000005,4533.9800000000005,0.5263146109507891,0.698478111983085
2009-03-01,-0.356075690309701,6147.399090909091,4461.704444444444,0.48985429888520415,0.6363657669554466
2009-04-01,-0.36076762246117083,7070.8725,4602.104285714286,0.37686351456082473,0.6068424321104232
2009-05-01,-0.2590565676420432,7613.05894736842,4488.87875,0.3699432537452744,0.49169164073081345
2009-06-01,-0.18787489593883736,7516.076818181818,4446.41,0.35622230261282956,0.3163504493885104
2009-07-01,-0.3068879094287443,7575.779130434783,4638.50125,0.12690744542337407,0.10713322901887642
2009-08-01,-0.3679060665362035,8487.2305,4595.4425,0.1706031173912761,0.19249925059227646
2009-09-01,-0.19918597751897513,9071.063181818181,4545.094999999999,0.31848265722615776,0.30066759780614116
2009-10-01,-0.418348217539804,9252.195,4584.62875,0.11815652388467103,0.5065263289896726
2009-11-01,-0.38166673216044217,9152.50857142857,4629.57125,0.3565514977964196,-0.5320740849313123
2009-12-01,-0.29151119433905553,9124.200476190475,4551.4262499999995,0.30048737869824804,-0.49952258382442594
2010-01-01,-0.35258654820709956,9480.3625,5407.08,0.09782087478739883,-0.21437763969852203
2010-01-01,-0.35258654820709956,9480.3625,5407.08,-0.16212008670681052,-0.30844239263125345
2010-02-01,-0.3236466595963397,9245.0905,5381.24,-0.33490614395193535,-0.3230094033049028
2010-03-01,-0.2956237086715714,9924.916086956522,5473.78,-0.45068770476596387,-0.2858680571043638
2010-04-01,-0.37037037037037035,10449.628,5438.605,-0.44677649169605566,-0.298435814832368
2010-05-01,-0.3436619718309859,9780.315789473685,5403.19125,-0.1699728787024229,-0.13633622769418483
2010-06-01,-0.32166279355230387,9685.395909090908,5469.95375,-0.0761621973840058,-0.07547109906927608
2010-07-01,-0.2999433765271498,9778.644545454545,5421.76,-0.19781789485710438,-0.11135883861629792
2010-08-01,-0.2113323124042879,9904.727142857142,5481.143,0.24126272254039083,0.402176091396613
2010-09-01,-0.24132577655572612,10402.09,5476.861111111111,0.31947471304608355,0.23453266981644053
2010-10-01,-0.2733754648285439,10813.172380952381,5475.0525,0.2787029568777996,-0.003825726786441515
2010-11-01,-0.28726299230789715,10855.671818181818,5443.4425,0.3717314608151019,0.6929522085955704
2010-12-01,-0.2548544337606838,11351.877619047618,5479.938888888889,0.4080578362836129,0.6917476356046294
2011-01-01,-0.2413285630433987,11655.0925,5769.54,0.4382926681106992,0.5075625782323196
2011-01-01,-0.2413285630433987,11655.0925,5769.54,0.45279507464115665,0.5189388196796334
2011-02-01,-0.22392856234658962,11698.598,5687.098571428572,0.5192736229764996,0.5745793520182443
2011-03-01,-0.2381330982869816,11518.82652173913,5733.138571428572,0.6073461075696754,0.5985305237616259
